# ----------------------------------------
# User acquisition: First user primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20251212
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Organic Social,64574,62817,10015,27.094200651263762,1.2257869437122035,962574,2717,0.01629710032563188
Direct,22854,20580,4105,62.808262953663544,1.3621547591874001,453249,5491,0.06866012325952979
Referral,13955,13876,1647,7.743066007310256,1.1999569984949474,104222,260,0.0065218949329893215
Cross-network,10893,10570,1622,60.81604337039419,1.3278507764403198,217817,1069,0.039694937057796566
Email,9623,9071,2386,93.21723237597911,1.4694516971279374,251398,3998,0.08793733681462142
Organic Search,8452,8267,1886,107.85543310818818,1.3763479085199668,229536,3173,0.06778054271833156
Paid Search,6412,6205,1613,120.67161613004063,1.5070334479524852,221998,3254,0.08361988121287903
Paid Social,3854,3748,641,39.080603224128964,0.8874154966198647,66791,3293,0.14274570982839313
Unassigned,2607,2460,242,26.355201863354036,1.0524068322981366,30435,632,0.03377329192546584
SMS,957,911,315,104.47563559322033,1.8665254237288136,26949,737,0.15995762711864406
Organic Shopping,420,407,55,62.61057692307692,1.4519230769230769,9563,284,0.4423076923076923
Paid Other,319,313,53,73.45741324921136,1.003154574132492,7661,489,0.24921135646687698
Mobile Push Notifications,110,109,25,25.98165137614679,1.4862385321100917,1375,2,0.01834862385321101
Paid Shopping,47,42,10,46.891304347826086,1.4565217391304348,923,4,0.06521739130434782
