# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: MONFRERE
# Property: MONFRERE
# ----------------------------------------
# 
# All Users
# Start date: 20240101
# End date: 20241231
Session primary channel group (Default Channel Group),Week,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Paid Social,01,747,526,0.7041499330655957,17.54082998661312,7.7269076305220885,5772,1,0.0013386880856760374,599
Direct,30,743,668,0.8990578734858681,50.29878869448183,15.05114401076716,11183,26,0.034993270524899055,6145.052212
Cross-network,32,741,696,0.9392712550607287,38.661268556005396,12.17408906882591,9021,17,0.022941970310391364,1829.64
Organic Search,12,740,710,0.9594594594594594,57.42567567567568,21.505405405405405,15914,5,0.006756756756756757,1614.4
Cross-network,03,734,600,0.8174386920980926,45.02724795640327,13.331062670299728,9785,5,0.006811989100817439,726.32
Cross-network,27,734,708,0.9645776566757494,21.40599455040872,10.430517711171662,7656,3,0.004087193460490463,801.64
Organic Search,11,730,699,0.9575342465753425,61.43287671232877,20.383561643835616,14880,8,0.010958904109589041,2544.20025
Email,11,713,679,0.9523141654978962,42.01402524544179,18.364656381486675,13094,15,0.021037868162692847,3220.11
Direct,22,712,674,0.9466292134831461,33.60252808988764,14.467696629213483,10301,9,0.011235955056179775,2473.78
Direct,01,710,443,0.6239436619718309,43.7056338028169,12.221126760563381,8677,5,0.007042253521126761,3622.15
Organic Search,28,710,684,0.9633802816901409,43.319718309859155,17.570422535211268,12475,6,0.008450704225352112,1336.88
Email,47,701,670,0.9557774607703281,94.30527817403708,38.50356633380884,26991,25,0.03566333808844508,5701.85
Direct,06,697,414,0.593974175035868,48.02152080344333,13.24390243902439,9231,6,0.00860832137733142,4686.968068
Organic Social,12,691,526,0.7612156295224313,7.833574529667149,8.060781476121562,5570,0,0,0
Cross-network,34,687,668,0.9723435225618632,29.705967976710333,14.026200873362445,9636,8,0.008733624454148471,1138.14
Direct,14,687,624,0.9082969432314411,36.033478893740906,13.2882096069869,9129,5,0.00727802037845706,1069
Organic Social,22,687,551,0.8020378457059679,14.599708879184861,10.74235807860262,7380,0,0,0
Organic Search,22,685,646,0.9430656934306569,34.75620437956204,17.296350364963505,11848,6,0.008759124087591242,2079.7
Email,51,682,601,0.8812316715542522,28.552785923753667,13.759530791788857,9384,4,0.005865102639296188,929.74
Direct,35,677,620,0.9158050221565731,41.202363367799116,18.406203840472674,12461,28,0.0310192023633678,7383.905696
Paid Social,13,670,590,0.8805970149253731,12.798507462686567,9.607462686567164,6437,2,0.0029850746268656717,248
Organic Search,36,666,612,0.918918918918919,66.96696696696696,23.415915915915917,15595,29,0.03003003003003003,6854.543062
Cross-network,05,658,530,0.8054711246200608,30.606382978723403,10.2370820668693,6736,2,0.00303951367781155,773.2
Organic Search,25,655,632,0.9648854961832061,57.123664122137406,23.090076335877864,15124,16,0.021374045801526718,4693.98
Email,43,652,593,0.9095092024539877,26.92484662576687,12.616564417177914,8226,2,0.003067484662576687,274.61
Email,05,639,479,0.7496087636932708,60.5226917057903,15.222222222222221,9727,16,0.023474178403755867,1857.46
Direct,15,638,574,0.8996865203761756,49.53605015673981,18.55485893416928,11838,9,0.014106583072100314,2771.046395
Direct,09,631,413,0.6545166402535658,46.23771790808241,11.778129952456418,7432,7,0.011093502377179081,1688.24
Paid Social,03,627,452,0.7208931419457735,20.725677830940988,9.577352472089315,6005,1,0.001594896331738437,265
Direct,34,625,587,0.9392,47.6848,18.1136,11321,34,0.0384,5676.83
Organic Search,21,625,587,0.9392,39.7776,16.6896,10431,8,0.0128,1969.16
Direct,27,615,596,0.9691056910569106,37.330081300813006,17.035772357723577,10477,7,0.011382113821138212,2722.24
Organic Search,07,615,492,0.8,79.8260162601626,18.46829268292683,11358,7,0.011382113821138212,2051.34
Unassigned,25,611,255,0.41734860883797054,41.1063829787234,18.921440261865794,11561,5,0.008183306055646482,748.95
Cross-network,13,610,569,0.9327868852459016,29.14918032786885,12.914754098360655,7878,3,0.004918032786885246,630
Organic Search,10,604,560,0.9271523178807947,67.12913907284768,21.34933774834437,12895,5,0.008278145695364239,1534.69761
Email,33,601,507,0.8435940099833611,61.37104825291181,20.41763727121464,12271,13,0.021630615640599003,3372.260363
Email,49,598,554,0.9264214046822743,88.95819397993311,34.7876254180602,20803,16,0.026755852842809364,3314.6
Organic Search,08,598,455,0.7608695652173914,76.9314381270903,17.877926421404684,10691,9,0.015050167224080268,5091.24
Organic Search,23,598,558,0.9331103678929766,37.302675585284284,17.596989966555185,10523,9,0.015050167224080268,1971.54
Organic Social,13,595,354,0.5949579831932773,7.139495798319328,7.324369747899159,4358,3,0.005042016806722689,713.7
Direct,48,585,557,0.9521367521367521,71.77264957264957,28.545299145299147,16699,34,0.05811965811965812,7093.75
Organic Search,47,580,540,0.9310344827586207,72.23275862068965,28.75689655172414,16679,15,0.02586206896551724,2945.59
Organic Search,02,579,439,0.7582037996545768,80.4853195164076,19.52504317789292,11305,14,0.024179620034542316,4101.82
Direct,32,575,486,0.8452173913043478,57.55826086956522,16.742608695652173,9627,22,0.03826086956521739,3049.364797
Organic Search,05,574,451,0.7857142857142857,81.45121951219512,18.923344947735192,10862,9,0.0156794425087108,1939.04
Organic Social,30,569,406,0.7135325131810193,36.40421792618629,12.075571177504393,6871,7,0.012302284710017574,1369.1
Direct,19,560,524,0.9357142857142857,31.710714285714285,15.341071428571428,8591,4,0.007142857142857143,1394.1
Organic Search,03,555,422,0.7603603603603604,77.29729729729729,18.286486486486485,10149,9,0.016216216216216217,2520.28
Organic Search,38,554,516,0.9314079422382672,58.16064981949459,23.73465703971119,13149,20,0.023465703971119134,9569.48
Organic Search,27,552,527,0.9547101449275363,38.05797101449275,17.463768115942027,9640,4,0.007246376811594203,962.96
Paid Shopping,42,546,535,0.9798534798534798,17.681318681318682,11.465201465201465,6260,3,0.005494505494505495,394.59
Organic Social,07,543,260,0.47882136279926335,7.837937384898711,5.843462246777164,3173,3,0.0055248618784530384,558.86
Email,50,539,437,0.8107606679035251,40.829313543599255,16.67161410018553,8986,4,0.0074211502782931356,2501.711696
Cross-network,49,537,518,0.9646182495344506,46.80074487895717,18.58659217877095,9981,11,0.020484171322160148,3616.05
Organic Search,35,536,498,0.9291044776119403,63.02985074626866,23.128731343283583,12397,9,0.011194029850746268,3785.54
Paid Search,16,531,511,0.9623352165725048,96.5668549905838,34.15065913370998,18134,9,0.01694915254237288,2443.5
Email,06,530,388,0.7320754716981132,60.76603773584905,15.839622641509434,8395,11,0.020754716981132074,2959.6
Organic Search,46,530,483,0.9113207547169812,70.13962264150943,27.78490566037736,14726,15,0.02830188679245283,7300.09
Email,30,527,454,0.8614800759013282,64.47438330170777,17.343453510436433,9140,19,0.036053130929791274,4156.9
Referral,07,525,27,0.05142857142857143,7.47047619047619,5.097142857142857,2676,1,0.0019047619047619048,54.72
Cross-network,51,524,502,0.9580152671755725,44.43129770992366,19.17557251908397,10048,9,0.01717557251908397,1670.81
Paid Search,12,522,501,0.9597701149425287,60.24329501915709,22.760536398467433,11881,6,0.011494252873563218,1342
Email,12,521,501,0.9616122840690979,39.96737044145873,16.848368522072935,8778,3,0.005758157389635317,819.2
Organic Search,39,520,489,0.9403846153846154,80.3173076923077,29.286538461538463,15229,18,0.023076923076923078,3496.22
Email,16,519,498,0.9595375722543352,52.46820809248555,21.078998073217726,10940,15,0.028901734104046242,1911.28
Organic Search,37,518,473,0.9131274131274131,63.511583011583014,24.604247104247104,12745,13,0.019305019305019305,4469.12
Organic Social,28,517,366,0.7079303675048356,12.011605415860735,8.214700193423598,4247,5,0.009671179883945842,1229.34
Email,23,515,492,0.9553398058252427,35.10485436893204,17.03495145631068,8773,13,0.02524271844660194,1471.3
Email,31,515,416,0.8077669902912621,39.95728155339806,11.753398058252428,6053,7,0.013592233009708738,3107.5
Direct,33,513,424,0.8265107212475633,48.27680311890838,17.799220272904485,9131,25,0.04093567251461988,4334.68
Organic Search,24,513,471,0.9181286549707602,53.1578947368421,19.282651072124757,9892,15,0.02729044834307992,2820.7
Direct,07,511,332,0.649706457925636,51.2426614481409,13.105675146771038,6697,3,0.005870841487279843,474.28
Organic Search,26,504,482,0.9563492063492064,37.00198412698413,17.728174603174605,8935,6,0.011904761904761904,1260.8
Organic Search,48,504,468,0.9285714285714286,98.75595238095238,38.7718253968254,19541,17,0.03373015873015873,5088.53
Direct,28,499,486,0.9739478957915831,28.801603206412825,14.228456913827655,7100,2,0.004008016032064128,1073.88
Organic Search,04,495,349,0.705050505050505,67.78787878787878,15.2,7524,12,0.024242424242424242,3446.950436
SMS,17,490,474,0.9673469387755103,67.23061224489796,24.185714285714287,11851,8,0.0163265306122449,1589.303321
Organic Search,29,489,440,0.8997955010224948,55.58691206543967,16.777096114519427,8204,12,0.024539877300613498,3471.64
Paid Search,10,489,455,0.9304703476482618,78.20449897750511,25.856850715746422,12644,6,0.012269938650306749,1360.45
Paid Social,12,489,415,0.8486707566462167,18.73006134969325,9.466257668711657,4629,1,0.002044989775051125,379.06
Email,52,483,444,0.9192546583850931,44.36438923395445,19.65631469979296,9494,7,0.014492753623188406,709
Organic Search,30,479,417,0.8705636743215032,62.38204592901879,17,8143,9,0.018789144050104383,2491.78
Direct,21,469,432,0.9211087420042644,29.79957356076759,13.750533049040511,6449,6,0.010660980810234541,1866.64
Direct,45,466,430,0.9227467811158798,50.47424892703863,23.257510729613735,10838,14,0.030042918454935622,3563.82
Organic Search,40,466,422,0.9055793991416309,71.45922746781116,26.967811158798284,12567,17,0.023605150214592276,4582.293756
Cross-network,50,463,451,0.9740820734341252,34.505399568034555,16.49892008639309,7639,3,0.0064794816414686825,612.28
Organic Search,45,462,431,0.9329004329004329,69.77922077922078,26.39177489177489,12193,6,0.012987012987012988,2466.113723
Organic Search,44,459,422,0.9193899782135077,62.31808278867102,24.34640522875817,11175,8,0.015250544662309368,3001.79
Organic Search,41,455,421,0.9252747252747253,66.42857142857143,27.178021978021977,12366,16,0.03076923076923077,5332.8
Direct,49,454,436,0.960352422907489,67.72466960352423,30.7136563876652,13944,21,0.046255506607929514,6545.18
Unassigned,36,452,3,0.00663716814159292,36.50221238938053,6.488938053097345,2933,0,0,0
Paid Search,11,451,434,0.9623059866962306,73.7139689578714,25.88691796008869,11675,3,0.0066518847006651885,411.01
Organic Search,09,444,329,0.740990990990991,74.09234234234235,16.076576576576578,7138,9,0.02027027027027027,2189.101863
Cross-network,48,443,421,0.9503386004514672,61.512415349887135,22.64334085778781,10031,8,0.01805869074492099,1268.38
Organic Social,21,443,441,0.9954853273137697,4.756207674943567,6.3250564334085775,2802,0,0,0
Direct,52,439,419,0.9544419134396356,53.583143507972665,25.1002277904328,11019,14,0.03189066059225513,2292.72
Organic Social,06,438,179,0.408675799086758,10.084474885844749,7.219178082191781,3162,2,0.0045662100456621,531.68
Email,10,431,400,0.9280742459396751,50.41531322505801,18.870069605568446,8133,6,0.009280742459396751,1541.65
Direct,42,430,418,0.9720930232558139,46.54651162790697,21.090697674418603,9069,8,0.018604651162790697,3560.5
Email,32,427,372,0.8711943793911007,69.15690866510539,18.056206088992973,7710,29,0.06791569086651054,4228.08
Email,35,426,382,0.8967136150234741,57.32394366197183,23.387323943661972,9963,13,0.03051643192488263,3225.21
Direct,41,424,400,0.9433962264150944,45.35141509433962,19.63443396226415,8325,6,0.01179245283018868,2923.04
Paid Search,23,422,406,0.9620853080568721,45.93601895734597,19.139810426540283,8077,8,0.016587677725118485,2585.9
Direct,20,415,397,0.9566265060240964,42.88433734939759,18.24578313253012,7572,7,0.016867469879518072,2150.633597
Email,07,415,300,0.7228915662650602,55.689156626506026,14.255421686746988,5916,13,0.03132530120481928,2875.96
Paid Search,26,415,395,0.9518072289156626,37.18313253012048,16.49397590361446,6845,4,0.00963855421686747,750.54879
Direct,38,413,380,0.9200968523002422,41.99515738498789,17.946731234866828,7412,15,0.026634382566585957,2246.58
Direct,50,412,390,0.9466019417475728,48.189320388349515,22.888349514563107,9430,7,0.01699029126213592,1993.12
Organic Search,31,406,348,0.8571428571428571,67.73152709359606,17.288177339901477,7019,8,0.019704433497536946,1356.3
Direct,39,405,361,0.891358024691358,67.90864197530864,26.57037037037037,10761,17,0.02962962962962963,6266.83
Direct,47,403,379,0.9404466501240695,62.64764267990074,28.320099255583127,11413,18,0.04466501240694789,5324.4
Organic Search,01,392,306,0.7806122448979592,67.63010204081633,16.517857142857142,6475,6,0.015306122448979591,2887.5
Paid Shopping,43,388,377,0.9716494845360825,26.63659793814433,14.855670103092784,5764,6,0.015463917525773196,1111.84
Direct,29,374,316,0.8449197860962567,35.90909090909091,12.462566844919786,4661,9,0.0213903743315508,2694.28
Direct,43,369,356,0.964769647696477,44.58536585365854,20.40650406504065,7530,4,0.01084010840108401,2803.24
Email,08,368,273,0.7418478260869565,52.46195652173913,13.603260869565217,5006,5,0.01358695652173913,2108.52
Direct,40,363,322,0.8870523415977961,49.33057851239669,20.482093663911847,7435,8,0.013774104683195593,1985.03
Paid Search,24,360,348,0.9666666666666667,51.233333333333334,20.919444444444444,7531,6,0.016666666666666666,2244.65
Cross-network,01,359,299,0.8328690807799443,40.78272980501393,13.194986072423399,4737,4,0.011142061281337047,1231.3
Email,34,358,322,0.8994413407821229,41.254189944134076,17.20949720670391,6161,6,0.0111731843575419,2335.38
Organic Social,29,355,147,0.4140845070422535,7.670422535211268,6.205633802816902,2203,0,0,0
Direct,51,354,324,0.9152542372881356,51.41242937853107,23.76553672316384,8413,15,0.0423728813559322,3002.65
Paid Social,20,346,339,0.9797687861271677,34.604046242774565,20.17630057803468,6981,1,0.002890173410404624,131.2
